plot_type,varname,casename,apply_log10,time_period,sel_dict,filepath,date
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0095-01-01_0095-12-31,{'z_t': '500.00'},histogram/NO3.0095-01-01_0095-12-31.z_t--500.00.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0095-01-01_0095-12-31,{'z_t': '500.00'},histogram/NO3.0095-01-01_0095-12-31.z_t--500.00.log10.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0096-01-01_0096-12-31,{'z_t': '35109.35'},histogram/NO3.0096-01-01_0096-12-31.z_t--35109.35.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0096-01-01_0096-12-31,{'z_t': '500.00'},histogram/NO3.0096-01-01_0096-12-31.z_t--500.00.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0096-01-01_0096-12-31,{'z_t': '500.00'},histogram/NO3.0096-01-01_0096-12-31.z_t--500.00.log10.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0097-01-01_0097-12-31,{'z_t': '35109.35'},histogram/NO3.0097-01-01_0097-12-31.z_t--35109.35.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0097-01-01_0097-12-31,{'z_t': '500.00'},histogram/NO3.0097-01-01_0097-12-31.z_t--500.00.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0097-01-01_0097-12-31,{'z_t': '500.00'},histogram/NO3.0097-01-01_0097-12-31.z_t--500.00.log10.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0098-01-01_0098-12-31,{'z_t': '35109.35'},histogram/NO3.0098-01-01_0098-12-31.z_t--35109.35.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0098-01-01_0098-12-31,{'z_t': '500.00'},histogram/NO3.0098-01-01_0098-12-31.z_t--500.00.png,
